ptlName,cmpLongName,ptlLicenseeInterest,prlNpdidLicence,cmpNpdidCompany,ptlLicenseeDateUpdated,datesyncNPD
072 B,Equinor Energy AS,50.00000,1630345,32011216,17.05.2018,20.02.2019
072 B,ExxonMobil Exploration and Production Norway AS,50.00000,1630345,2835212,19.10.2017,20.02.2019
073,Total E&P Norge AS,29.14300,21380,2410708,,20.02.2019
073,Equinor Energy AS,58.76700,21380,32011216,17.05.2018,20.02.2019
073,Vår Energi AS,5.80000,21380,33360957,11.12.2018,20.02.2019
073,ExxonMobil Exploration and Production Norway AS,6.29000,21380,2835212,30.10.2015,20.02.2019
073 B,ExxonMobil Exploration and Production Norway AS,6.60000,2987414,2835212,30.10.2015,20.02.2019
073 B,Vår Energi AS,7.90000,2987414,33360957,11.12.2018,20.02.2019
073 B,Total E&P Norge AS,26.66640,2987414,2410708,,20.02.2019
073 B,Equinor Energy AS,58.83360,2987414,32011216,17.05.2018,20.02.2019
074,Vår Energi AS,29.40000,21388,33360957,11.12.2018,20.02.2019
074,ExxonMobil Exploration and Production Norway AS,9.80000,21388,2835212,30.10.2015,20.02.2019
074,Equinor Energy AS,40.85000,21388,32011216,17.05.2018,20.02.2019
074,Petoro AS,19.95000,21388,1626839,,20.02.2019
074 B,Petoro AS,19.95000,4918544,1626839,,20.02.2019
074 B,ExxonMobil Exploration and Production Norway AS,9.80000,4918544,2835212,30.10.2015,20.02.2019
074 B,Vår Energi AS,29.40000,4918544,33360957,11.12.2018,20.02.2019
074 B,Equinor Energy AS,40.85000,4918544,32011216,17.05.2018,20.02.2019
077,Petoro AS,30.00000,21412,1626839,,20.02.2019
077,Total E&P Norge AS,10.00000,21412,2410708,,20.02.2019
077,Equinor Energy AS,48.00000,21412,32011216,17.05.2018,20.02.2019
077,Neptune Energy Norge AS,12.00000,21412,31123361,,20.02.2019
078,Neptune Energy Norge AS,12.00000,21420,31123361,,20.02.2019
078,Total E&P Norge AS,25.00000,21420,2410708,,20.02.2019
078,Equinor Energy AS,33.00000,21420,32011216,17.05.2018,20.02.2019
078,Petoro AS,30.00000,21420,1626839,,20.02.2019
079,Petoro AS,33.60000,34635,1626839,,20.02.2019
079,Total E&P Norge AS,14.70000,34635,2410708,,20.02.2019
079,Equinor Energy AS,49.30000,34635,32011216,17.05.2018,20.02.2019
079,ConocoPhillips Skandinavia AS,2.40000,34635,2410696,,20.02.2019
085,Total E&P Norge AS,3.69096,21476,2410708,,20.02.2019
085,Equinor Energy AS,33.39038,21476,32011216,17.05.2018,20.02.2019
085,Petoro AS,62.91866,21476,1626839,,20.02.2019
085 B,Petoro AS,62.91866,21484,1626839,,20.02.2019
085 B,Total E&P Norge AS,3.00000,21484,2410708,,20.02.2019
085 B,Equinor Energy AS,34.08134,21484,32011216,17.05.2018,20.02.2019
085 C,Total E&P Norge AS,3.69096,2051285,2410708,,20.02.2019
085 C,Petoro AS,56.00000,2051285,1626839,,20.02.2019
085 C,Norske ConocoPhillips AS,1.62374,2051285,2399056,,20.02.2019
085 C,Equinor Energy AS,30.58385,2051285,32011216,17.05.2018,20.02.2019
085 C,A/S Norske Shell,8.10145,2051285,562,,20.02.2019
088 BS,Lundin Norway AS,15.00000,2787418,2767314,,20.02.2019
088 BS,Aker BP ASA,65.00000,2787418,28544099,06.10.2016,20.02.2019
088 BS,ConocoPhillips Skandinavia AS,20.00000,2787418,2410696,,20.02.2019
089,Petoro AS,30.00000,21516,1626839,,20.02.2019
089,Equinor Energy AS,41.50000,21516,32011216,17.05.2018,20.02.2019
089,Idemitsu Petroleum Norge AS,9.60000,21516,441,,20.02.2019
089,ExxonMobil Exploration and Production Norway AS,16.10000,21516,2835212,30.10.2015,20.02.2019
089,DEA Norge AS,2.80000,21516,26309819,21.03.2015,20.02.2019
090,Equinor Energy AS,45.00000,21524,32011216,17.05.2018,20.02.2019
090,ExxonMobil Exploration and Production Norway AS,25.00000,21524,2835212,30.10.2015,20.02.2019
090,Idemitsu Petroleum Norge AS,15.00000,21524,441,,20.02.2019
090,Neptune Energy Norge AS,15.00000,21524,31123361,,20.02.2019
090 B,Neptune Energy Norge AS,15.00000,3426781,31123361,,20.02.2019
090 B,Idemitsu Petroleum Norge AS,15.00000,3426781,441,,20.02.2019
090 B,Equinor Energy AS,70.00000,3426781,32011216,17.05.2018,20.02.2019
090 C,Idemitsu Petroleum Norge AS,15.00000,3426824,441,,20.02.2019
090 C,Spirit Energy Norway AS,25.00000,3426824,33342085,06.12.2018,20.02.2019
090 C,Neptune Energy Norge AS,15.00000,3426824,31123361,,20.02.2019
090 C,Wintershall Norge AS,45.00000,3426824,21666830,03.12.2014,20.02.2019
090 E,Neptune Energy Norge AS,15.00000,17642079,31123361,,20.02.2019
090 E,Idemitsu Petroleum Norge AS,15.00000,17642079,441,,20.02.2019
090 E,ExxonMobil Exploration and Production Norway AS,25.00000,17642079,2835212,30.10.2015,20.02.2019
090 E,Equinor Energy AS,45.00000,17642079,32011216,17.05.2018,20.02.2019
090 F,Idemitsu Petroleum Norge AS,40.00000,23268186,441,29.06.2013,20.02.2019
090 F,Equinor Energy AS,45.00000,23268186,32011216,17.05.2018,20.02.2019
090 F,Neptune Energy Norge AS,15.00000,23268186,31123361,,20.02.2019
090 G,Idemitsu Petroleum Norge AS,40.00000,23268222,441,29.06.2013,20.02.2019
090 G,Equinor Energy AS,45.00000,23268222,32011216,17.05.2018,20.02.2019
090 G,Neptune Energy Norge AS,15.00000,23268222,31123361,,20.02.2019
090 HS,Neptune Energy Norge AS,15.00000,23297006,31123361,,20.02.2019
090 HS,Idemitsu Petroleum Norge AS,15.00000,23297006,441,,20.02.2019
090 HS,Spirit Energy Norway AS,25.00000,23297006,33342085,06.12.2018,20.02.2019
090 HS,Equinor Energy AS,45.00000,23297006,32011216,17.05.2018,20.02.2019
