prlName,prlLicensingActivityName,prlMainArea,prlStatus,prlStratigraphical,prlDateGranted,prlDateValidTo,prlOriginalArea,prlCurrentArea,prlPhaseCurrent,prlNpdidLicence,prlFactPageUrl,prlFactMapUrl,prlDateUpdated,prlDateUpdatedMax,DatesyncNPD
102 B,9,North sea,INACTIVE,NO,22.01.1998,31.12.2002,26.123,0.000,,40264,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=40264,,30.03.2017,30.03.2017,20.02.2019
102 C,9,North sea,ACTIVE,NO,20.03.2009,01.03.2025,114.953,22.668,PRODUCTION,5467035,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=5467035,http://gis.npd.no/factmaps/html_21/?run=LicenceActiveByNPDID&NPDID=5467035,05.12.2018,05.12.2018,20.02.2019
102 D,TFO2011,North sea,ACTIVE,NO,03.02.2012,01.03.2025,85.636,33.280,PRODUCTION,21568785,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=21568785,http://gis.npd.no/factmaps/html_21/?run=LicenceActiveByNPDID&NPDID=21568785,08.12.2018,09.12.2018,20.02.2019
102 E,TFO2011,North sea,ACTIVE,NO,03.02.2012,01.03.2025,5.240,5.240,PRODUCTION,21568578,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=21568578,http://gis.npd.no/factmaps/html_21/?run=LicenceActiveByNPDID&NPDID=21568578,01.08.2016,07.09.2017,20.02.2019
102 F,TFO2011,North sea,ACTIVE,NO,10.10.2013,01.03.2025,45.408,15.727,PRODUCTION,23815216,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=23815216,http://gis.npd.no/factmaps/html_21/?run=LicenceActiveByNPDID&NPDID=23815216,08.12.2018,09.12.2018,20.02.2019
102 G,9,North sea,ACTIVE,NO,10.10.2013,01.03.2025,10.476,10.476,PRODUCTION,23815158,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=23815158,http://gis.npd.no/factmaps/html_21/?run=LicenceActiveByNPDID&NPDID=23815158,08.12.2018,09.12.2018,20.02.2019
102 H,9,North sea,ACTIVE,NO,15.11.2018,01.03.2025,74.800,74.800,PRODUCTION,33341870,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=33341870,http://gis.npd.no/factmaps/html_21/?run=LicenceActiveByNPDID&NPDID=33341870,15.12.2018,15.12.2018,20.02.2019
103,9,North sea,INACTIVE,NO,01.03.1985,31.12.2003,527.805,0.000,,21628,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=21628,,29.04.2016,29.04.2016,20.02.2019
103 B,9,North sea,INACTIVE,NO,22.01.1998,31.12.2017,23.706,0.000,,40772,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=40772,,03.01.2018,04.01.2018,20.02.2019
104,9,North sea,ACTIVE,NO,01.03.1985,01.03.2031,410.102,348.512,PRODUCTION,21636,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=21636,http://gis.npd.no/factmaps/html_21/?run=LicenceActiveByNPDID&NPDID=21636,17.05.2018,18.05.2018,20.02.2019
