wlbnpdidwellbore,wlbWellName,wlbWellboreName,wlbField,wlbProductionLicence,wlbWellType,wlbDrillingOperator,wlbMultilateral,wlbDrillingFacility,wlbProductionFacility,wlbEntryDate,wlbCompletionDate,wlbContent,wlbStatus,wlbSymbol,wlbPurpose,wlbWaterDepth,wlbFactPageUrl,wlbFactMapUrl,wlbDiscoveryWellbore,wlbPointGeometryWKT
6496,"2/1-A-19","2/1-A-19 A","GYDA","019 B","DEVELOPMENT","Talisman Energy Norge AS","NO","GYDA","GYDA",2010-11-14 00:00:00+01,2010-11-25 00:00:00+01,"OIL","ONLINE/OPERATIONAL",50,"PRODUCTION",65.500000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=6496","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=6496","NO","POINT(3.085106 56.904839)"
6497,"31/4-A-33","31/4-A-33 E","BRAGE","055","DEVELOPMENT","Statoil Petroleum AS","NO","BRAGE","BRAGE",2010-11-02 00:00:00+01,2010-11-24 00:00:00+01,"CUTTINGS","CLOSED",171,"INJECTION",137.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=6497","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=6497","NO","POINT(3.047367 60.542478)"
6498,"6507/8-D-1","6507/8-D-1 AH","HEIDRUN","124","DEVELOPMENT","Statoil Petroleum AS","NO","DEEPSEA BERGEN","HEIDRUN D",2010-12-26 00:00:00+01,2011-01-15 00:00:00+01,"OIL","PLUGGED",50,"PRODUCTION",357.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=6498","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=6498","NO","POINT(7.335947 65.361847)"
6499,"2/4-X-6","2/4-X-6 A","EKOFISK","018","DEVELOPMENT","ConocoPhillips Skandinavia AS","NO","EKOFISK X","EKOFISK X",2011-03-28 00:00:00+02,2011-07-02 00:00:00+02,"OIL","ONLINE/OPERATIONAL",50,"PRODUCTION",76.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=6499","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=6499","NO","POINT(3.218928 56.547497)"
6500,"34/8-A-17","34/8-A-17 H","VISUND","120","DEVELOPMENT","Statoil Petroleum AS","NO","VISUND","VISUND",2011-03-18 00:00:00+01,2012-03-27 00:00:00+02,"OIL/GAS/CONDENSATE","ONLINE/OPERATIONAL",170,"PRODUCTION",335.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=6500","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=6500","NO","POINT(2.458628 61.369878)"
6501,"17/6-1","17/6-1",,"545","EXPLORATION","Norwegian Energy Company ASA","NO","WEST ALPHA",,2011-01-05 00:00:00+01,2011-02-07 00:00:00+01,"OIL SHOWS","P&A",12,"WILDCAT",272.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=6501","http://gis.npd.no/factmaps/html_21/?run=WellboreExpByNPDID&scale=100000&NPDID=6501","NO","POINT(3.926369 58.737628)"
6502,"6305/9-2","6305/9-2",,"468","EXPLORATION","Det norske oljeselskap ASA","NO","AKER BARENTS",,2010-12-26 00:00:00+01,2011-03-13 00:00:00+01,"DRY","P&A",1,"WILDCAT",274.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=6502","http://gis.npd.no/factmaps/html_21/?run=WellboreExpByNPDID&scale=100000&NPDID=6502","NO","POINT(5.914825 63.447739)"
6640,"25/8-U-24","25/8-U-24",,"169 C","OTHER","Det norske oljeselskap ASA","NO","BUCENTAUR",,,,,,0,"SOIL DRILLING",126.000000,"http://factpages.npd.no/FactPages/default.aspx?nav1=wellbore&nav2=PageView|Other|OtherAll&nav3=6640",,"NO","POINT(2.368889 59.403333)"
6503,"6608/10-M-3","6608/10-M-3 H","NORNE","128","DEVELOPMENT","Statoil Petroleum AS","NO","AKER SPITSBERGEN","NORNE M",2010-11-15 00:00:00+01,2011-01-22 00:00:00+01,"OIL","ONLINE/OPERATIONAL",50,"PRODUCTION",375.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=6503","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=6503","NO","POINT(8.032094 66.004978)"
6504,"6407/1-W-2","6407/1-W-2 H","TYRIHANS","073","DEVELOPMENT","Statoil Petroleum AS","NO","TRANSOCEAN ARCTIC","TYRIHANS W",2010-11-22 00:00:00+01,2011-01-10 00:00:00+01,"WATER","ONLINE/OPERATIONAL",173,"INJECTION",283.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=6504","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=6504","NO","POINT(7.015392 64.834825)"
6505,"6507/7-A-45","6507/7-A-45 A","HEIDRUN","095","DEVELOPMENT","Statoil Petroleum AS","NO","HEIDRUN","HEIDRUN",2011-06-09 00:00:00+02,2011-06-17 00:00:00+02,"OIL","PLUGGED",50,"PRODUCTION",345.600000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=6505","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=6505","NO","POINT(7.317717 65.325711)"
6507,"25/6-4","25/6-4 S",,"414","EXPLORATION","Det norske oljeselskap ASA","NO","SONGA DELTA",,2012-01-10 00:00:00+01,2012-02-15 00:00:00+01,"DRY","P&A",1,"WILDCAT",114.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=6507","http://gis.npd.no/factmaps/html_21/?run=WellboreExpByNPDID&scale=100000&NPDID=6507","NO","POINT(2.883675 59.686186)"
6508,"35/9-B-1","35/9-B-1 AH","GJØA","153","DEVELOPMENT","GDF SUEZ E&P Norge AS","NO","TRANSOCEAN SEARCHER","GJØA B",2011-03-29 00:00:00+02,2012-01-31 00:00:00+01,"OIL","ONLINE/OPERATIONAL",50,"PRODUCTION",363.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=6508","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=6508","NO","POINT(3.958797 61.340275)"
6509,"25/4-L-1","25/4-L-1 AH","ALVHEIM","036 C","DEVELOPMENT","Marathon Petroleum Norge AS","NO","SONGA DEE","ØST KAMELEON",2010-11-18 00:00:00+01,2010-11-25 00:00:00+01,"OIL","PLUGGED",99,"OBSERVATION",120.700000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=6509","http://gis.npd.no/factmaps/html_21/?run=WellboreDevByNPDID&&scale=100000&NPDID=6509","NO","POINT(2.086439 59.585947)"
