fldName,fldRecoverableOil,fldRecoverableGas,fldRecoverableNGL,fldRecoverableCondensate,fldRecoverableOE,fldRemainingOil,fldRemainingGas,fldRemainingNGL,fldRemainingCondensate,fldRemainingOE,fldDateOffResEstDisplay,fldNpdidField,DatesyncNPD
FRIGG,0.00,116.17,0.00,0.46,116.63,0.00,0.00,0.00,0.00,0.00,31.12.2018,43555,20.02.2019
FRØY,5.55,1.61,0.00,0.11,7.27,0.00,0.00,0.00,0.00,0.00,31.12.2018,43597,20.02.2019
GAUPE,0.23,0.46,0.03,0.02,0.77,0.00,0.00,0.00,0.00,0.00,31.12.2018,18161341,20.02.2019
GIMLE,2.93,0.92,0.19,0.00,4.21,0.00,0.04,0.01,0.00,0.06,31.12.2018,4005142,20.02.2019
GINA KROG,13.93,13.31,2.25,0.00,31.52,11.21,12.02,2.07,0.00,27.16,31.12.2018,23384544,20.02.2019
GJØA,14.00,38.18,9.25,0.00,69.76,1.15,10.43,2.35,0.00,16.05,31.12.2018,4467574,20.02.2019
GLITNE,8.88,0.00,0.00,0.00,8.88,0.00,0.00,0.00,0.00,0.00,31.12.2018,1272071,20.02.2019
GOLIAT,31.45,0.00,0.00,0.00,31.45,22.24,0.00,0.00,0.00,22.24,31.12.2018,5774394,20.02.2019
GRANE,148.79,0.00,0.00,0.00,148.79,29.98,0.00,0.00,0.00,29.98,31.12.2018,1035937,20.02.2019
GUDRUN,20.65,15.46,1.80,0.00,39.53,7.57,7.84,0.74,0.00,16.82,31.12.2018,18116481,20.02.2019
GULLFAKS,384.00,23.08,2.83,0.00,412.46,16.25,0.00,0.00,0.00,16.25,31.12.2018,43686,20.02.2019
GULLFAKS SØR,62.25,84.47,11.15,0.00,167.91,9.41,26.00,3.47,0.00,42.00,31.12.2018,43699,20.02.2019
GUNGNE,0.33,15.76,2.20,4.47,24.74,0.12,0.55,0.07,0.00,0.80,31.12.2018,43464,20.02.2019
GYDA,36.23,6.24,1.60,0.00,45.51,0.00,0.00,0.00,0.00,0.00,31.12.2018,43492,20.02.2019
HANZ,2.29,0.36,0.06,0.00,2.76,2.29,0.37,0.06,0.00,2.77,31.12.2018,25307278,20.02.2019
HEIDRUN,196.55,46.33,2.00,0.00,246.68,35.74,25.51,1.33,0.00,63.78,31.12.2018,43771,20.02.2019
HEIMDAL,6.68,46.17,0.00,0.00,52.85,0.01,0.04,0.00,0.00,0.05,31.12.2018,43590,20.02.2019
HOD,10.19,1.75,0.46,0.00,12.81,0.54,0.07,0.01,0.00,0.63,31.12.2018,43485,20.02.2019
HULDRA,5.21,17.34,0.11,0.00,22.76,0.00,0.00,0.00,0.00,0.00,31.12.2018,97002,20.02.2019
HYME,3.15,0.86,0.30,0.00,4.58,1.30,0.56,0.20,0.00,2.24,31.12.2018,20474183,20.02.2019
ISLAY,0.01,0.09,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,31.12.2018,21105675,20.02.2019
IVAR AASEN,23.65,4.18,0.66,0.00,29.08,18.41,2.93,0.46,0.00,22.21,31.12.2018,23384520,20.02.2019
JETTE,0.43,0.01,0.00,0.00,0.44,0.00,0.00,0.00,0.00,0.00,31.12.2018,21613906,20.02.2019
JOHAN CASTBERG,88.90,0.00,0.00,0.00,88.90,88.90,0.00,0.00,0.00,88.90,31.12.2018,32017325,20.02.2019
JOHAN SVERDRUP,406.59,10.24,4.50,0.00,425.38,406.58,10.24,4.50,0.00,425.37,31.12.2018,26376286,20.02.2019
JOTUN,23.14,0.88,0.00,0.00,24.02,0.00,0.00,0.00,0.00,0.00,31.12.2018,43604,20.02.2019
KNARR,9.16,0.34,0.54,0.00,10.53,1.75,0.02,0.03,0.00,1.83,31.12.2018,20460988,20.02.2019
KRISTIN,23.06,28.95,5.98,2.10,65.47,1.65,3.49,0.78,0.00,6.62,31.12.2018,1854729,20.02.2019
KVITEBJØRN,31.56,96.47,10.88,0.00,148.70,4.66,23.32,2.38,0.00,32.50,31.12.2018,1036101,20.02.2019
LILLE-FRIGG,1.33,2.19,0.00,0.02,3.54,0.00,0.00,0.00,0.00,0.00,31.12.2018,43583,20.02.2019
MARIA,8.04,0.68,0.40,0.00,9.48,6.83,0.56,0.33,0.00,8.02,31.12.2018,26465170,20.02.2019
MARTIN LINGE,10.87,25.72,2.18,0.00,40.73,10.87,25.72,2.18,0.00,40.73,31.12.2018,21675447,20.02.2019
MARULK,0.55,7.79,0.72,0.00,9.71,0.12,2.06,0.19,0.00,2.54,31.12.2018,18212090,20.02.2019
MIKKEL,6.50,34.33,8.95,2.23,60.07,1.77,10.04,2.55,0.00,16.66,31.12.2018,1630514,20.02.2019
MIME,0.37,0.08,0.01,0.00,0.47,0.00,0.00,0.00,0.00,0.00,31.12.2018,43792,20.02.2019
MORVIN,9.03,4.37,1.00,0.00,15.30,1.18,0.91,0.23,0.00,2.53,31.12.2018,4966234,20.02.2019
MURCHISON,13.86,0.35,0.32,0.00,14.82,0.00,0.00,0.00,0.00,0.00,31.12.2018,43665,20.02.2019
NJORD,31.49,23.66,6.13,0.00,66.80,4.85,13.46,3.81,0.00,25.55,31.12.2018,43751,20.02.2019
NORDØST FRIGG,0.00,11.60,0.00,0.04,11.64,0.00,0.00,0.00,0.00,0.00,31.12.2018,43568,20.02.2019
NORNE,93.82,12.81,1.62,0.00,109.71,3.04,5.35,0.73,0.00,9.78,31.12.2018,43778,20.02.2019
